centos63      ;root           ; [md_misc/0]                                                           
centos63      ;root           ; [migration/0]                                                         
centos63      ;root           ; [migration/0]                                                         
centos63      ;root           ; [mpt/0]                                                               
centos63      ;root           ; [mpt_poll_0]                                                          
centos63      ;root           ; [netns]                                                               
centos63      ;root           ; NetworkManager --pid-file=/var/run/NetworkManager/NetworkManager.pid   
centos63      ;root           ; [pciehpd]                                                             
centos63      ;root           ; [pm]                                                                  
centos63      ;root           ; rpc.idmapd                                                            
centos63      ;root           ; [rpciod/0]                                                            
centos63      ;root           ; /sbin/init                                                            
centos63      ;root           ; /sbin/mingetty /dev/tty2                                              
centos63      ;root           ; /sbin/rsyslogd -i /var/run/syslogd.pid -c 5                           
centos63      ;root           ; /sbin/udevd -d                                                        
centos63      ;root           ; /sbin/udevd -d                                                        
centos63      ;root           ; /sbin/udevd -d                                                        
centos63      ;root           ; [scsi_eh_0]                                                           
centos63      ;root           ; [scsi_eh_1]                                                           
centos63      ;root           ; [scsi_eh_2]                                                           
centos63      ;root           ; sshd: alozahic [priv]                                                 
centos63      ;root           ; sshd: alozahic [priv]                                                 
centos63      ;root           ; su -                                                                  
centos63      ;root           ; [sync_supers]                                                         
centos63      ;root           ; [usbhid_resumer]                                                      
centos63      ;root           ; /usr/libexec/postfix/master                                           
centos63      ;root           ; /usr/sbin/abrtd                                                       
centos63      ;root           ; /usr/sbin/acpid                                                       
centos63      ;root           ; /usr/sbin/atd                                                         
centos63      ;root           ; /usr/sbin/certmonger -S -p /var/run/certmonger.pid                    
centos63      ;root           ; /usr/sbin/console-kit-daemon --no-daemon                              
centos63      ;root           ; /usr/sbin/modem-manager                                               
centos63      ;root           ; /usr/sbin/sshd                                                        
centos63      ;root           ; /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -B -u
centos63      ;root           ; [vmmemctl]                                                            
centos63      ;root           ; [watchdog/0]                                                          
centos63      ;rpc            ; rpcbind                                                               
centos63      ;rpcuser        ; rpc.statd                                                             
centos63      ;UID            ; CMD                                                                   
avize      ;68             ; hald                                                                  
avize      ;68             ; hald-addon-acpi: listening on acpid socket                            
avize      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
avize      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
avize      ;alozahic       ; /bin/sh -c . /home/alozahic/.profile; /home/alozahic/exploit/systeme/suivi/ABSYSS_CENTOS/SURVEILL
avize      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/sgbd/bin/postgres -D /home/alozahic/Linux/centos63/Ver551/ba  
avize      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtavizeer                
avize      ;alozahic       ; /home/alozahic/Linux/centos63/Ver551/vtom/bin/vtsgbd                  
avize      ;alozahic       ; -ksh                                                                  
avize      ;alozahic       ; -ksh                                                                  
avize      ;alozahic       ; -ksh                                                                  
avize      ;alozahic       ; ksh -x domi_arn_ctrl_process                                          
avize      ;alozahic       ; postgres: autovacuum launcher process                                 
avize      ;alozahic       ; postgres: stats collector process                                     
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40907) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40908) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40909) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40910) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40911) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40912) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40913) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40914) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40915) idle                             
avize      ;alozahic       ; postgres: vtom vtom 127.0.0.1(40916) idle                             
avize      ;alozahic       ; postgres: wal writer process                                          
avize      ;alozahic       ; postgres: writer process                                              
avize      ;alozahic       ; ps -ef                                                                
avize      ;alozahic       ; sed s/avize/avize/g                                                    
avize      ;alozahic       ; sort                                                                  
avize      ;alozahic       ; sshd: alozahic@pts/0                                                  
avize      ;alozahic       ; sshd: alozahic@pts/1                                                  
avize      ;alozahic       ; /usr/sbin/postdrop -r                                                 
avize      ;alozahic       ; /usr/sbin/postdrop -r                                                 
avize      ;alozahic       ; /usr/sbin/postdrop -r                                                 
avize      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
avize      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
avize      ;alozahic       ; /usr/sbin/sendmail -FCronDaemon -i -odi -oem                          
