ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:31:02;30-06-2010 20:31:02;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;30-06-2010 20:30:03;30-06-2010 20:31:06;0:01:03;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_stopint;smapx251;vtom43;30-06-2010 20:30:33;30-06-2010 20:31:06;0:00:33;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;30-06-2010 20:31:07;30-06-2010 20:31:07;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI/mof_edi_suppflag;imapora2;vp_mof;30-06-2010 20:31:07;30-06-2010 20:31:38;0:00:31;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_startint;smapx251;vtom43;30-06-2010 20:31:38;30-06-2010 20:31:43;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI/purge_arch;imapora2;vp_mof;30-06-2010 20:31:43;30-06-2010 20:31:48;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_stopint;smapx251;vtom43;30-06-2010 20:30:33;30-06-2010 20:32:18;0:01:45;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_suppflag;imapora2;vp_mof;30-06-2010 20:32:18;30-06-2010 20:32:23;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_startint;smapx251;vtom43;30-06-2010 20:32:23;30-06-2010 20:32:28;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/purge_arch;imapora2;vp_mof;30-06-2010 20:32:28;30-06-2010 20:32:33;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/MV_FICH_SOURCE;imapora2;vp_mof;30-06-2010 20:00:04;30-06-2010 20:00:21;0:00:17;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:00:21;30-06-2010 20:01:01;0:00:40;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:01:02;30-06-2010 20:01:31;0:00:29;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_stop;smapx251;vtom43;30-06-2010 20:01:35;30-06-2010 20:02:11;0:00:36;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:01:31;30-06-2010 20:02:26;0:00:55;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:02:27;30-06-2010 20:02:27;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/suppr_flag;imapora2;vp_mof;30-06-2010 20:02:12;30-06-2010 20:02:42;0:00:30;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_start;smapx251;vtom43;30-06-2010 20:02:43;30-06-2010 20:02:52;0:00:09;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF_EXP/EXTRACT_EDISNCF;imapora2;vp_mof;30-06-2010 20:02:52;30-06-2010 20:02:57;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF_EXP/EXTRACT_EDISNCF;imapora2;vp_mof;30-06-2010 20:02:52;30-06-2010 20:02:57;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:30:02;30-06-2010 20:30:56;0:00:54;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;30-06-2010 20:31:02;30-06-2010 20:31:02;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_stopint;smapx251;vtom43;30-06-2010 20:30:33;30-06-2010 20:32:18;0:01:45;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_suppflag;imapora2;vp_mof;30-06-2010 20:32:18;30-06-2010 20:32:23;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_startint;smapx251;vtom43;30-06-2010 20:32:23;30-06-2010 20:32:28;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/purge_arch;imapora2;vp_mof;30-06-2010 20:32:28;30-06-2010 20:32:33;0:00:05;TERMINE
