BOX ou JOB                    |Start_times|Date_condition|Calendrier|           
b_pur101                      |      09:00|             1|    pur101|           
b_pur201                      |      09:00|             1|    pur201|           
b_ref101                      |      09:00|             1|    ref101|           
b_saof01                      |      09:00|             1|    saof01|           
b_sat01                       |      09:00|             1|     sat01|           
b_sco101                      |      09:00|             1|    sco101|           
b_sco201                      |      09:00|             1|    sco201|           
b_sco301                      |      09:00|             1|    sco301|           
b_suof01                      |      09:00|             1|    suof01|           
b_tip01                       |      09:00|             1|     tip01|           
b_wday01                      |      09:00|             1|    wday01|           
b_wdcb01                      |      09:00|             1|    wdcb01|           
cpp1Luf1_xtstatus_01          |      09:00|             1|       all|           
cpp1Luf1_xtstatus_02          |      14:00|             1|       all|           
d9arAsa1                      |      08:00|             1|      base|           
d9arAsa1_lislog_01            |      08:00|             1|    wday01|           
d9arAsa1_lislog_02            |      11:00|             1|    wday01|           
d9arAsa1_lislog_03            |      16:00|             1|    wday01|           
d9arAsa1_lislog_04            |      23:00|             1|    wday01|           
d9arEsa10                     |      13:05|             1|      base|           
d9arEsa10_lislog_01           |      08:00|             1|    wday01|           
d9arEsa10_lislog_02           |      11:00|             1|    wday01|           
d9arEsa10_lislog_03           |      16:00|             1|    wday01|           
d9arEsa10_lislog_04           |      23:00|             1|    wday01|           
d9arGuin_lislog_02            |      11:00|             1|      base|           
d9arGuin_lislog_03            |      16:00|             1|      base|           
d9arGuin_lislog_04            |      23:00|             1|      base|           
d9arLcom                      |      08:00|             1|       all|           
d9arLcom_lislog_01            |      08:00|             1|    wday01|           
d9arLcom_lislog_02            |      11:00|             1|    wday01|           
d9arLcom_lislog_03            |      16:00|             1|    wday01|           
d9arLcom_lislog_04            |      23:00|             1|    wday01|           
d9arLrf1                      |      08:00|             1|    wday01|           
d9arLrf1_lislog_01            |      08:00|             1|    wday01|           
d9arLrf1_lislog_02            |      11:00|             1|    wday01|           
d9arLrf1_lislog_03            |      16:00|             1|    wday01|           
d9arLrf1_lislog_04            |      23:00|             1|    wday01|           
d9arLrf2                      |      08:00|             1|    wday01|           
d9arLrf2_lislog_01            |      08:00|             1|    wday01|           
d9arLrf2_lislog_02            |      11:00|             1|    wday01|           
d9arLrf2_lislog_03            |      16:00|             1|    wday01|           
d9arLrf2_lislog_04            |      23:00|             1|    wday01|           
d9arLrh1                      |      08:00|             1|    wday01|           
d9arLrh1_lislog_01            |      08:00|             1|    wday01|           
d9arLrh1_lislog_02            |      11:00|             1|    wday01|           
d9arLrh1_lislog_03            |      16:00|             1|    wday01|           
d9arLrh1_lislog_04            |      23:00|             1|    wday01|           
d9arLs10                      |      08:00|             1|    wday01|           
d9arLs10_lislog_01            |      08:00|             1|    wday01|           
d9arLs10_lislog_02            |      11:00|             1|    wday01|           
d9arLs10_lislog_03            |      16:00|             1|    wday01|           
d9arLs10_lislog_04            |      23:00|             1|    wday01|           
d9arLsa1                      |      08:00|             1|    wday01|           
d9arLsa1_lislog_01            |      08:00|             1|    wday01|           
d9arLsa1_lislog_02            |      11:00|             1|    wday01|           
d9arLsa1_lislog_03            |      16:00|             1|    wday01|           
d9arLsa1_lislog_04            |      23:00|             1|    wday01|           
d9arLsa2                      |      08:00|             1|    wday01|           
d9arLsa2_lislog_01            |      08:00|             1|    wday01|           
d9arLsa2_lislog_02            |      11:00|             1|    wday01|           
d9arLsa2_lislog_03            |      16:00|             1|    wday01|           
d9arLsa2_lislog_04            |      23:00|             1|    wday01|           
d9arLsa3                      |      08:00|             1|    wday01|           
d9arLsa3_lislog_01            |      08:00|             1|    wday01|           
d9arLsa3_lislog_02            |      11:00|             1|    wday01|           
d9arLsa3_lislog_03            |      16:00|             1|    wday01|           
d9arLsa3_lislog_04            |      23:00|             1|    wday01|           
d9arLsa4                      |      08:00|             1|    wday01|           
d9arLsa4_lislog_01            |      08:00|             1|    wday01|           
d9arLsa4_lislog_02            |      11:00|             1|    wday01|           
d9arLsa4_lislog_03            |      16:00|             1|    wday01|           
d9arLsa4_lislog_04            |      23:00|             1|    wday01|           
d9arLsa5                      |      08:00|             1|    wday01|           
d9arLsa5_lislog_01            |      08:00|             1|    wday01|           
d9arLsa5_lislog_02            |      11:00|             1|    wday01|           
d9arLsa5_lislog_03            |      16:00|             1|    wday01|           
d9arLsa5_lislog_04            |      23:00|             1|    wday01|           
d9arLsa6                      |      08:00|             1|    wday01|           
d9arLsa6_lislog_01            |      08:00|             1|    wday01|           
d9arLsa6_lislog_02            |      11:00|             1|    wday01|           
d9arLsa6_lislog_03            |      16:00|             1|    wday01|           
d9arLsa6_lislog_04            |      23:00|             1|    wday01|           
d9arLsa7                      |      08:00|             1|    wday01|           
d9arLsa7_lislog_01            |      08:00|             1|    wday01|           
d9arLsa7_lislog_02            |      11:00|             1|    wday01|           
d9arLsa7_lislog_03            |      16:00|             1|    wday01|           
d9arLsa7_lislog_04            |      23:00|             1|    wday01|           
d9arLsa8                      |      08:00|             1|    wday01|           
d9arLsa8_lislog_01            |      08:00|             1|    wday01|           
d9arLsa8_lislog_02            |      11:00|             1|    wday01|           
d9arLsa8_lislog_03            |      16:00|             1|    wday01|           
d9arLsa8_lislog_04            |      23:00|             1|    wday01|           
d9arLsa9                      |      08:00|             1|    wday01|           
d9arLsa9_lislog_01            |      08:00|             1|    wday01|           
d9arLsa9_lislog_02            |      11:00|             1|    wday01|           
d9arLsa9_lislog_03            |      16:00|             1|    wday01|           
d9arLsa9_lislog_04            |      23:00|             1|    wday01|           
d9arRehe                      |      08:00|             1|      base|           
d9arRehe_lislog_01            |      08:00|             1|    wday01|           
d9arRehe_lislog_02            |      11:00|             1|    wday01|           
d9arRehe_lislog_03            |      16:00|             1|    wday01|           
d9arRehe_lislog_04            |      23:00|             1|    wday01|           
d9arToto                      |      08:00|             1|      base|           
d9arToto_lislog_01            |      08:00|             1|    wday01|           
d9arToto_lislog_02            |      11:00|             1|    wday01|           
d9arToto_lislog_03            |      16:00|             1|    wday01|           
d9arToto_lislog_04            |      23:00|             1|    wday01|           
d9vaAsa1                      |      06:00|             1|      base|           
d9vaAsa1_d9cccv_01            |      06:00|             1|      base|           
d9vaAsa1_d9cccv_02            |      09:00|             1|      base|           
d9vaAsa1_d9cccv_03            |      12:00|             1|      base|           
d9vaAsa1_d9cccv_04            |      15:00|             1|      base|           
d9vaAsa1_d9cccv_05            |      18:00|             1|      base|           
d9vaAsa1_d9cccv_06            |      21:00|             1|      base|           
d9vaAsa1_d9cccv_07            |      23:59|             1|      base|           
d9vaAsa1_d9cccv_08            |      03:00|             1|      base|           
d9vaEsa10                     |      06:00|             1|      base|           
d9vaEsa10_d9cccv_01           |      06:00|             1|      base|           
d9vaEsa10_d9cccv_02           |      09:00|             1|      base|           
d9vaEsa10_d9cccv_03           |      12:00|             1|      base|           
d9vaEsa10_d9cccv_04           |      15:00|             1|      base|           
d9vaEsa10_d9cccv_05           |      18:00|             1|      base|           
d9vaEsa10_d9cccv_06           |      21:00|             1|      base|           
d9vaEsa10_d9cccv_07           |      23:59|             1|      base|           
d9vaEsa10_d9cccv_08           |      03:00|             1|      base|           
d9vaGuin                      |      06:00|             1|      base|           
d9vaGuin_d9cccv_02            |      09:00|             1|      base|           
d9vaGuin_d9cccv_03            |      12:00|             1|      base|           
d9vaGuin_d9cccv_04            |      15:00|             1|      base|           
d9vaGuin_d9cccv_05            |      18:00|             1|      base|           
d9vaGuin_d9cccv_06            |      21:00|             1|      base|           
d9vaGuin_d9cccv_07            |      23:59|             1|      base|           
d9vaLcom                      |      06:00|             1|      base|           
d9vaLcom_d9cccv_01            |      06:00|             1|      base|           
d9vaLcom_d9cccv_02            |      09:00|             1|      base|           
d9vaLcom_d9cccv_03            |      12:00|             1|      base|           
d9vaLcom_d9cccv_04            |      15:00|             1|      base|           
