BOX ou JOB                    |Start_times|Date_condition|Calendrier|           
d9arLsa7_lislog_02            |      11:00|             1|    wday01|           
d9arLsa7_lislog_03            |      16:00|             1|    wday01|           
d9arLsa7_lislog_04            |      23:00|             1|    wday01|           
d9arLsa8                      |      08:00|             1|    wday01|           
d9arLsa8_lislog_01            |      08:00|             1|    wday01|           
d9arLsa8_lislog_02            |      11:00|             1|    wday01|           
d9arLsa8_lislog_03            |      16:00|             1|    wday01|           
d9arLsa8_lislog_04            |      23:00|             1|    wday01|           
d9arLsa9                      |      08:00|             1|    wday01|           
d9arLsa9_lislog_01            |      08:00|             1|    wday01|           
d9arLsa9_lislog_02            |      11:00|             1|    wday01|           
d9arLsa9_lislog_03            |      16:00|             1|    wday01|           
d9arLsa9_lislog_04            |      23:00|             1|    wday01|           
d9arRehe                      |      08:00|             1|      base|           
d9arRehe_lislog_01            |      08:00|             1|    wday01|           
d9arRehe_lislog_02            |      11:00|             1|    wday01|           
d9arRehe_lislog_03            |      16:00|             1|    wday01|           
d9arRehe_lislog_04            |      23:00|             1|    wday01|           
d9arToto                      |      08:00|             1|      base|           
d9arToto_lislog_01            |      08:00|             1|    wday01|           
d9arToto_lislog_02            |      11:00|             1|    wday01|           
d9arToto_lislog_03            |      16:00|             1|    wday01|           
d9arToto_lislog_04            |      23:00|             1|    wday01|           
d9vaAsa1                      |      06:00|             1|      base|           
d9vaAsa1_d9cccv_01            |      06:00|             1|      base|           
d9vaAsa1_d9cccv_02            |      09:00|             1|      base|           
d9vaAsa1_d9cccv_03            |      12:00|             1|      base|           
d9vaAsa1_d9cccv_04            |      15:00|             1|      base|           
d9vaAsa1_d9cccv_05            |      18:00|             1|      base|           
d9vaAsa1_d9cccv_06            |      21:00|             1|      base|           
d9vaAsa1_d9cccv_07            |      23:59|             1|      base|           
d9vaAsa1_d9cccv_08            |      03:00|             1|      base|           
d9vaEsa10                     |      06:00|             1|      base|           
d9vaEsa10_d9cccv_01           |      06:00|             1|      base|           
d9vaEsa10_d9cccv_02           |      09:00|             1|      base|           
d9vaEsa10_d9cccv_03           |      12:00|             1|      base|           
d9vaEsa10_d9cccv_04           |      15:00|             1|      base|           
d9vaEsa10_d9cccv_05           |      18:00|             1|      base|           
