BOX ou JOB                    |Start_times|Date_condition|Calendrier|           
_____________________________________________________________________

afaeAsa1                      |      00:00|             0|       all|           
afaeEsa10                     |      00:00|             0|       all|           
afaeLrf1                      |      00:00|             0|       all|           
afaeLrf2                      |      00:00|             0|       all|           
afaeLrh1                      |      00:00|             0|       all|           
afaeLs10                      |      00:00|             0|       all|           
afaeLsa1                      |      00:00|             0|       all|           
afaeLsa2                      |      00:00|             0|       all|           
afaeLsa3                      |      00:00|             0|       all|           
afaeLsa4                      |      00:00|             0|       all|           
afaeLsa5                      |      00:00|             0|       all|           
afaeLsa6                      |      00:00|             0|       all|           
afaeLsa7                      |      00:00|             0|       all|           
afaeLsa8                      |      00:00|             0|       all|           
afaeLsa9                      |      00:00|             0|       all|           
afaeRehe                      |      00:00|             0|       all|           
afaeToto                      |      00:00|             0|       all|           
afagAsa1                      |      00:00|             0|       all|           
afagEsa10                     |      00:00|             0|       all|           
afagLrf1                      |      00:00|             0|       all|           
afagLrf2                      |      00:00|             0|       all|           
afagLrh1                      |      00:00|             0|       all|           
afagLs10                      |      00:00|             0|       all|           
afagLsa1                      |      00:00|             0|       all|           
afagLsa2                      |      00:00|             0|       all|           
afagLsa3                      |      00:00|             0|       all|           
afagLsa4                      |      00:00|             0|       all|           
afagLsa5                      |      00:00|             0|       all|           
afagLsa6                      |      00:00|             0|       all|           
afagLsa7                      |      00:00|             0|       all|           
afagLsa8                      |      00:00|             0|       all|           
afagLsa9                      |      00:00|             0|       all|           
afagRehe                      |      00:00|             0|       all|           
afagToto                      |      00:00|             0|       all|           
darvAsa1                      |      00:00|             0|       all|           
darvEsa10                     |      00:00|             0|       all|           
darvLrf1                      |      00:00|             0|       all|           
darvLrf2                      |      00:00|             0|       all|           
darvLrh1                      |      00:00|             0|       all|           
darvLs10                      |      00:00|             0|       all|           
darvLsa1                      |      00:00|             0|       all|           
darvLsa2                      |      00:00|             0|       all|           
darvLsa3                      |      00:00|             0|       all|           
darvLsa4                      |      00:00|             0|       all|           
darvLsa5                      |      00:00|             0|       all|           
darvLsa6                      |      00:00|             0|       all|           
darvLsa7                      |      00:00|             0|       all|           
darvLsa8                      |      00:00|             0|       all|           
darvLsa9                      |      00:00|             0|       all|           
darvRehe                      |      00:00|             0|       all|           
darvToto                      |      00:00|             0|       all|           
decmAsa1                      |      00:00|             0|       all|           
decmEsa10                     |      00:00|             0|       all|           
decmLrf1                      |      00:00|             0|       all|           
decmLrf2                      |      00:00|             0|       all|           
decmLrh1                      |      00:00|             0|       all|           
decmLs10                      |      00:00|             0|       all|           
decmLsa1                      |      00:00|             0|       all|           
decmLsa2                      |      00:00|             0|       all|           
decmLsa3                      |      00:00|             0|       all|           
decmLsa4                      |      00:00|             0|       all|           
decmLsa5                      |      00:00|             0|       all|           
decmLsa6                      |      00:00|             0|       all|           
decmLsa7                      |      00:00|             0|       all|           
decmLsa8                      |      00:00|             0|       all|           
decmLsa9                      |      00:00|             0|       all|           
decmRehe                      |      00:00|             0|       all|           
decmToto                      |      00:00|             0|       all|           
do14Asa1                      |      00:00|             0|       all|           
do14Esa10                     |      00:00|             0|       all|           
do14Lrf1                      |      00:00|             0|       all|           
