----------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------

#### DEBUT JOB  20170621-000910 ####

Report of the autosys jobs le 20170621 a 000910

###################################################################

There are 625 jobs in error

Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
hbkpLsa4_dasa9c_01;127;2017/06/20 18:39:59;2017/06/20 18:39:59;parva4022576;FAILURE; ;0;784507/1;17-JUN-17; ;
jca1Eau1_jica03_02;2;2017/06/20 18:40:00;2017/06/20 18:40:00;parva4022576;FAILURE; ;0;784717/1;20-AUG-16;04-FEB-17;
hiiaLsa5_dasa9c_01;127;2017/06/20 18:40:07;2017/06/20 18:40:07;parva4022576;FAILURE; ;0;784510/1;17-JUN-17; ;
hbkpLsa5_dasa9c_01;127;2017/06/20 18:40:11;2017/06/20 18:40:11;parva4022576;FAILURE; ;0;784510/1;17-JUN-17; ;
mrhrLsa4_dasa9c_01;127;2017/06/20 18:40:13;2017/06/20 18:40:13;parva4022576;FAILURE; ;0;784511/1;17-JUN-17; ;
dar1Lrf1_dasa9c_01;3;2017/06/20 18:40:16;2017/06/20 18:40:18;parva4022576;FAILURE; ;2;771629/1;08-JUN-17; ;
mrhrLsa5_dasa9c_01;127;2017/06/20 18:40:20;2017/06/20 18:40:20;parva4022576;FAILURE; ;0;784508/1;17-JUN-17; ;
jvv1Lsa5_dasa9c_01;127;2017/06/20 18:40:22;2017/06/20 18:40:22;parva4022576;FAILURE; ;0;784985/1;17-JUN-17; ;
hsp1Lsa4_dasa9c_01;127;2017/06/20 18:40:24;2017/06/20 18:40:24;parva4022576;FAILURE; ;0;784507/1;17-JUN-17; ;
hsp1Lsa5_dasa9c_01;127;2017/06/20 18:40:27;2017/06/20 18:40:27;parva4022576;FAILURE; ;0;784510/1;17-JUN-17; ;
zec8Hau1_dasa9c_01;127;2017/06/20 18:40:29;2017/06/20 18:40:29;parva4022576;FAILURE; ;0;785033/1;19-JUN-17; ;
jspcLsa4_dasa9c_01;127;2017/06/20 18:40:31;2017/06/20 18:40:31;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
h9s1Lsa4_dasa9c_01;127;2017/06/20 18:40:57;2017/06/20 18:40:57;parva4022576;FAILURE; ;0;784663/1;17-JUN-17; ;
d9arLsa4_dasa9c_01;127;2017/06/20 18:40:59;2017/06/20 18:40:59;parva4022576;FAILURE; ;0;784968/1;17-JUN-17; ;
h9s1Lsa5_dasa9c_01;127;2017/06/20 18:41:02;2017/06/20 18:41:02;parva4022576;FAILURE; ;0;784667/1;17-JUN-17; ;
dwjaLsa4_dasa9c_01;127;2017/06/20 18:41:04;2017/06/20 18:41:04;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
hsv1Lsa4_dasa9c_01;127;2017/06/20 18:41:07;2017/06/20 18:41:07;parva4022576;FAILURE; ;0;784669/1;17-JUN-17; ;
jqb1Lsa4_dasa9c_01;127;2017/06/20 18:41:09;2017/06/20 18:41:09;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
hsv1Lsa5_dasa9c_01;127;2017/06/20 18:41:11;2017/06/20 18:41:11;parva4022576;FAILURE; ;0;784675/1;17-JUN-17; ;
jvr3Lsa4_dasa9c_01;127;2017/06/20 18:41:14;2017/06/20 18:41:14;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
dvdlLsa4_dasa9c_01;127;2017/06/20 18:41:18;2017/06/20 18:41:18;parva4022576;FAILURE; ;0;784696/1;17-JUN-17; ;
j9cfLsa5_dasa9c_01;127;2017/06/20 18:41:20;2017/06/20 18:41:20;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
d9vaLsa5_dasa9c_01;127;2017/06/20 18:41:23;2017/06/20 18:41:23;parva4022576;FAILURE; ;0;784697/1;17-JUN-17; ;
jvv1Lsa4_dasa9c_01;127;2017/06/20 18:41:25;2017/06/20 18:41:25;parva4022576;FAILURE; ;0;784984/1;17-JUN-17; ;
d9vaLsa4_dasa9c_01;127;2017/06/20 18:41:27;2017/06/20 18:41:27;parva4022576;FAILURE; ;0;784696/1;17-JUN-17; ;
mqvaLrf1_dasa9c_01;3;2017/06/20 18:41:29;2017/06/20 18:41:32;parva4022576;FAILURE; ;3;784989/1;08-JUN-17; ;
j9u1Lsa4_dasa9c_01;127;2017/06/20 18:41:33;2017/06/20 18:41:34;parva4022576;FAILURE; ;1;784696/1;17-JUN-17; ;
dvdlLsa5_dasa9c_01;127;2017/06/20 18:41:35;2017/06/20 18:41:35;parva4022576;FAILURE; ;0;784697/1;17-JUN-17; ;
j9u1Lsa5_dasa9c_01;127;2017/06/20 18:41:38;2017/06/20 18:41:38;parva4022576;FAILURE; ;0;784697/1;17-JUN-17; ;
hiw1Lsa4_dasa9c_01;127;2017/06/20 18:41:40;2017/06/20 18:41:40;parva4022576;FAILURE; ;0;784669/1;17-JUN-17; ;
dcb0Hau1_dasa9c_01;127;2017/06/20 18:41:41;2017/06/20 18:41:41;parva4022576;FAILURE; ;0;785034/1;19-JUN-17; ;
hiw1Lsa5_dasa9c_01;127;2017/06/20 18:41:43;2017/06/20 18:41:43;parva4022576;FAILURE; ;0;784675/1;17-JUN-17; ;
hsvbLsa4_dasa9c_01;127;2017/06/20 18:42:08;2017/06/20 18:42:08;parva4022576;FAILURE; ;0;784669/1;17-JUN-17; ;
mre8Nau2_mreo10_01;31;2017/06/20 18:42:08;2017/06/20 19:36:25;parva4022576;FAILURE; ;3257;784698/1;26-MAY-17; ;
hsvbLsa5_dasa9c_01;127;2017/06/20 18:42:10;2017/06/20 18:42:10;parva4022576;FAILURE; ;0;784675/1;17-JUN-17; ;
jfdrLsa4_dasa9c_01;127;2017/06/20 18:42:11;2017/06/20 18:42:11;parva4022576;FAILURE; ;0;784919/1;17-JUN-17; ;
jls2Lsa4_dasa9c_01;127;2017/06/20 18:42:28;2017/06/20 18:42:28;parva4022576;FAILURE; ;0;784919/1;17-JUN-17; ;
jfdrLsa5_dasa9c_01;127;2017/06/20 18:42:29;2017/06/20 18:42:29;parva4022576;FAILURE; ;0;784917/1;17-JUN-17; ;
jls2Lsa5_dasa9c_01;127;2017/06/20 18:42:46;2017/06/20 18:42:46;parva4022576;FAILURE; ;0;784917/1;17-JUN-17; ;
j9atLsa5_dasa9c_01;127;2017/06/20 18:42:48;2017/06/20 18:42:48;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jqb1Lsa5_dasa9c_01;127;2017/06/20 18:42:49;2017/06/20 18:42:50;parva4022576;FAILURE; ;1;784955/1;17-JUN-17; ;
dspoLsa4_dasa9c_01;127;2017/06/20 18:42:51;2017/06/20 18:42:51;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
j9b0Lsa4_dasa9c_01;127;2017/06/20 18:42:53;2017/06/20 18:42:53;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
dspoLsa5_dasa9c_01;127;2017/06/20 18:42:54;2017/06/20 18:42:54;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
j9b0Lsa5_dasa9c_01;127;2017/06/20 18:42:56;2017/06/20 18:42:56;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jca2Lsa5_dasa9c_01;127;2017/06/20 18:42:57;2017/06/20 18:42:57;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jcb7Lsa5_dasa9c_01;127;2017/06/20 18:42:59;2017/06/20 18:42:59;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jca1Lsa5_dasa9c_01;127;2017/06/20 18:43:00;2017/06/20 18:43:00;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jspcLsa5_dasa9c_01;127;2017/06/20 18:43:02;2017/06/20 18:43:02;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
j9atLsa4_dasa9c_01;127;2017/06/20 18:43:03;2017/06/20 18:43:03;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
jcb7Lsa4_dasa9c_01;127;2017/06/20 18:43:05;2017/06/20 18:43:05;parva4022576;FAILURE; ;0;784956/1;17-JUN-17; ;
jvr2Lsa5_dasa9c_01;127;2017/06/20 18:43:06;2017/06/20 18:43:06;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
jvr3Lsa5_dasa9c_01;127;2017/06/20 18:43:08;2017/06/20 18:43:08;parva4022576;FAILURE; ;0;784955/1;17-JUN-17; ;
