----------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------

#### DEBUT JOB  20170619-231202 ####

Report of the autosys jobs le 20170619 a 231202

###################################################################

Pas de jobs en erreur

###################################################################

There are 79 jobs running

sb_wday01_jvd1Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784925/1;17-JUN-17; ;
sb_wday01_jvm1Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784916/1;17-JUN-17; ;
sb_wday01_jvm1Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784936/1;17-JUN-17; ;
sb_wday01_jvm2Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784926/1;17-JUN-17; ;
sb_wday01_jvm3Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784915/1;17-JUN-17; ;
sb_wday01_jvm3Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784932/1;17-JUN-17; ;
sb_wday01_jvm4Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784922/1;17-JUN-17; ;
sb_wday01_jvm4Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784929/1;17-JUN-17; ;
sb_wday01_jvm8Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784928/1;17-JUN-17; ;
sb_wday01_jvm8Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784934/1;17-JUN-17; ;
sb_wday01_jvp9Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784910/1;17-JUN-17; ;
sb_wday01_jvp9Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784911/1;17-JUN-17; ;
sb_wday01_jvu2Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784945/1;17-JUN-17; ;
sb_wday01_jvu2Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784938/1;17-JUN-17; ;
sb_wday01_jvz2Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784930/1;17-JUN-17; ;
sb_wday01_jvz2Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784933/1;17-JUN-17; ;
sb_wday01_jvz5Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784927/1;17-JUN-17; ;
sb_wday01_jvz5Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784912/1;17-JUN-17; ;
sb_wdcb01Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784923/1;17-JUN-17; ;
sb_wdcb01Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784921/1;17-JUN-17; ;
sb_wday01_jvm2Lsa5;-656;2017/06/19 05:00:02;1970/01/01 11:00:00; ;RUNNING; ;0;784950/1;17-JUN-17; ;
sb_wday01_spNCALLsa4;-656;2017/06/19 05:00:02;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
sb_wday01_spNCALLsa5;-656;2017/06/19 05:00:02;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jfdrLsa5;-656;2017/06/19 05:00:04;1970/01/01 11:00:00; ;RUNNING; ;0;784917/1;17-JUN-17; ;
jls2Lsa5;-656;2017/06/19 05:00:04;1970/01/01 11:00:00; ;RUNNING; ;0;784917/1;17-JUN-17; ;
jfdrLsa4;-656;2017/06/19 05:00:05;1970/01/01 11:00:00; ;RUNNING; ;0;784919/1;17-JUN-17; ;
jls2Lsa4;-656;2017/06/19 05:00:05;1970/01/01 11:00:00; ;RUNNING; ;0;784919/1;17-JUN-17; ;
dspoLsa5;-656;2017/06/19 05:00:10;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
j9atLsa5;-656;2017/06/19 05:00:10;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
j9b0Lsa5;-656;2017/06/19 05:00:10;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jca2Lsa5;-656;2017/06/19 05:00:10;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jspcLsa5;-656;2017/06/19 05:00:10;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
dspoLsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
j9atLsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
j9b0Lsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jca1Lsa5;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jca2Lsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jcb7Lsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jcb7Lsa5;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jqb1Lsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jqb1Lsa5;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jspcLsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jvr2Lsa4;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jvr2Lsa5;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jvr3Lsa5;-656;2017/06/19 05:00:11;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
jca1Lsa4;-656;2017/06/19 05:00:12;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jvr3Lsa4;-656;2017/06/19 05:00:12;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jvr0Lsa4;-656;2017/06/19 05:00:19;1970/01/01 11:00:00; ;RUNNING; ;0;784923/1;17-JUN-17; ;
jvr0Lsa5;-656;2017/06/19 05:00:19;1970/01/01 11:00:00; ;RUNNING; ;0;784921/1;17-JUN-17; ;
sb_wday01_jvz1Lsa4;-656;2017/06/19 05:05:00;1970/01/01 11:00:00; ;RUNNING; ;0;784963/1;17-JUN-17; ;
sb_wday01_jvz1Lsa5;-656;2017/06/19 05:05:00;1970/01/01 11:00:00; ;RUNNING; ;0;784964/1;17-JUN-17; ;
jsppLsa4;-656;2017/06/19 06:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
jsppLsa5;-656;2017/06/19 06:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
sb_wday01_intradLsa4;-656;2017/06/19 07:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784965/1;17-JUN-17; ;
sb_wday01_intradLsa5;-656;2017/06/19 07:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784966/1;17-JUN-17; ;
sb_wday01Lsa4;-656;2017/06/19 07:30:00;1970/01/01 11:00:00; ;RUNNING; ;0;784968/1;17-JUN-17; ;
sb_wday01Lsa5;-656;2017/06/19 07:30:00;1970/01/01 11:00:00; ;RUNNING; ;0;784967/1;17-JUN-17; ;
d9arLsa4;-656;2017/06/19 07:30:01;1970/01/01 11:00:00; ;RUNNING; ;0;784968/1;17-JUN-17; ;
d9arLsa5;-656;2017/06/19 07:30:01;1970/01/01 11:00:00; ;RUNNING; ;0;784967/1;17-JUN-17; ;
jsp5Lsa4;-656;2017/06/19 07:30:01;1970/01/01 11:00:00; ;RUNNING; ;0;784968/1;17-JUN-17; ;
jsp5Lsa5;-656;2017/06/19 07:30:01;1970/01/01 11:00:00; ;RUNNING; ;0;784967/1;17-JUN-17; ;
dwjaLsa4;-656;2017/06/19 08:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
dwjaLsa5;-656;2017/06/19 08:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
j9cfLsa4;-656;2017/06/19 08:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784956/1;17-JUN-17; ;
j9cfLsa5;-656;2017/06/19 08:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784955/1;17-JUN-17; ;
sb_wday01_dortLsa4;-656;2017/06/19 08:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784970/1;17-JUN-17; ;
sb_wday01_dortLsa5;-656;2017/06/19 08:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784969/1;17-JUN-17; ;

###################################################################

#### FIN JOB  20170619-231255 ####

----------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------
exit 0
