----------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------

#### DEBUT JOB  20170619-231202 ####

Report of the autosys jobs le 20170619 a 231202

###################################################################

Pas de jobs en erreur

###################################################################

There are 79 jobs running

hsvbLsa4;-656;2017/06/18 20:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784669/1;17-JUN-17; ;
hsvbLsa5;-656;2017/06/18 20:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784675/1;17-JUN-17; ;
sb_wday01_batchLau2;-656;2017/06/19 00:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784704/1;06-MAR-17; ;
sb_wday01_spNCALEau1;-656;2017/06/19 00:00:00;1970/01/01 11:00:00; ;RUNNING; ;0;784717/1;28-JUL-16;04-FEB-17;
jca1Eau1;-656;2017/06/19 00:00:16;1970/01/01 11:00:00; ;RUNNING; ;0;784717/1;03-AUG-16;04-FEB-17;
sb_heb02Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784942/1;17-JUN-17; ;
sb_heb02Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784935/1;17-JUN-17; ;
sb_wday01_autoscanLsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784919/1;17-JUN-17; ;
sb_wday01_autoscanLsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784917/1;17-JUN-17; ;
sb_wday01_jid1Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784920/1;17-JUN-17; ;
sb_wday01_jid1Lsa5;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784918/1;17-JUN-17; ;
sb_wday01_jvd1Lsa4;-656;2017/06/19 05:00:01;1970/01/01 11:00:00; ;RUNNING; ;0;784914/1;17-JUN-17; ;
