Jobname;RC;Start time;End time;Machine;Status;O;Duration;Run/Ntry;Insert;Modif;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:20:02;2017/05/14 15:20:02;s00vl9957605;SUCCESS; ;0;415860/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:22:00;2017/05/14 15:22:02; ;SUCCESS; ;2;415861/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:22:02;2017/05/14 15:22:02;s00vl9957622;SUCCESS; ;0;415861/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 15:25:00;2017/05/14 15:25:02; ;SUCCESS; ;2;415862/1;19-AUG-15;08-MAR-17;
BWAEP01-Q1CYC01-JOBVERIF-PRIMARY;0;2017/05/14 15:25:02;2017/05/14 15:25:02;s00vl9957605;SUCCESS; ;0;415862/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-SHADOW;0;2017/05/14 15:27:00;2017/05/14 15:27:02; ;SUCCESS; ;2;415863/1;19-AUG-15;08-FEB-17;
BWAEP01-Q1CYC01-JOBVERIF-SHADOW;0;2017/05/14 15:27:02;2017/05/14 15:27:02;s00vl9957622;SUCCESS; ;0;415863/1;19-AUG-15; ;
BWAEP01-C1BOX-JOBVERIF-PRIMARY;0;2017/05/14 15:30:00;2017/05/14 15:30:02; ;SUCCESS; ;2;415865/1;19-AUG-15;08-MAR-17;
IRTMP01-Q0BOXIMP-PPRRES_RES;1;2017/05/14 15:30:00;2017/05/14 15:30:02; ;FAILURE; ;2;415864/1;19-JAN-17; ;
IDCI00P01-Q1EXT01-BNPIGABO-JCHQ_0001;0;2017/05/14 15:30:01;2017/05/14 15:30:01;s00vl9941381;SUCCESS; ;0;415452/1;18-OCT-16;18-OCT-16;
IPRT00P01-Q1APP01-JI94MARO-JIPR07_0009;0;2017/05/14 15:30:01;2017/05/14 15:30:01;s00vl9941381;SUCCESS; ;0;415352/1;18-OCT-16;18-OCT-16;
