ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
MIDDLE_OFFICE/MOF_C16_REMBOURS/purge_trace_remb;imapora2;vp_mof;08-06-2010 21:37:36;08-06-2010 21:37:41;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/tiers_c16;smapx251;vp_ares;08-06-2010 21:37:42;08-06-2010 21:44:11;0:06:29;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/insert_tiers;imapora2;vp_ares;08-06-2010 21:44:11;08-06-2010 21:45:12;0:01:01;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/MAJ_FIN;smapx251;vp_ares;08-06-2010 21:45:12;08-06-2010 21:45:38;0:00:26;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/envoi_rejets;smapx251;vp_ares;08-06-2010 21:45:38;08-06-2010 21:45:43;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/PURGE_TIERS_ARC;smapx251;vp_ares;08-06-2010 21:45:43;08-06-2010 21:45:48;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_1/MOF_ARCOLE;smapx251;vp_ares;08-06-2010 21:45:48;08-06-2010 22:02:21;0:16:33;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_1/CONTROL_ECRITURE;imapora2;vp_ares;08-06-2010 22:02:21;08-06-2010 22:03:48;0:01:27;TERMINE
MIDDLE_OFFICE/MOF_PREFAC_REGUL/mof_deflag_c16;smapx251;vp_ares;08-06-2010 22:03:48;08-06-2010 22:08:15;0:04:27;TERMINE
MIDDLE_OFFICE/MOF_PREFAC_REGUL/prefac_regul;imapora2;vp_ares;08-06-2010 22:08:15;08-06-2010 22:40:15;0:32:00;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_2/MOF_ARCOLE;smapx251;vp_ares;08-06-2010 22:40:15;08-06-2010 22:53:19;0:13:04;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_2/CONTROL_ECRITURE;imapora2;vp_ares;08-06-2010 22:53:20;08-06-2010 22:54:24;0:01:04;TERMINE
MIDDLE_OFFICE/MOF_CTRL_EQUILIB/CTRL_EQUILIBRE;imapora2;vp_ares;08-06-2010 22:54:24;08-06-2010 22:55:09;0:00:45;TERMINE
MIDDLE_OFFICE/MOF_CTRL_EQUILIB/INSERT_ECRITURE;imapora2;vp_ares;08-06-2010 22:55:10;08-06-2010 23:06:39;0:11:29;TERMINE
MIDDLE_OFFICE/MOF_C16TOBASEWAR/GENERE_RETOUR;imapora2;vp_mof;08-06-2010 23:06:40;08-06-2010 23:27:37;0:20:57;TERMINE
MIDDLE_OFFICE/MOF_C16TOBASEWAR/PURGE_FICHIER;imapora2;vp_mof;08-06-2010 23:27:37;08-06-2010 23:27:42;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_FACT/RETOUR_FACTURE;smapx251;vp_ares;08-06-2010 23:06:39;08-06-2010 23:08:10;0:01:31;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_FACT/MOF_MV_FICH;hmapora2;vp_ares;08-06-2010 23:08:10;08-06-2010 23:08:15;0:00:05;TERMINE
MIDDLE_OFFICE/RETOUR_FACTURE/Integ_Prestation;KMAFPSIB2;vp_mof;08-06-2010 23:08:16;08-06-2010 23:09:41;0:01:25;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_REG/RETOUR_REGLEMENT;smapx251;vp_ares;08-06-2010 23:08:16;08-06-2010 23:27:32;0:19:16;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_REG/MOF_MV_FICH;hmapora2;vp_ares;08-06-2010 23:27:32;08-06-2010 23:27:37;0:00:05;TERMINE
MIDDLE_OFFICE/RETOUR_REGLEMENT/Integration_regl;KMAFPSIB2;vp_aida;08-06-2010 23:27:38;08-06-2010 23:27:47;0:00:09;EN-ERREUR
MIDDLE_OFFICE/SAUVE_RETOUR/sauve_retass;hmapora2;vp_aida;08-06-2010 23:27:47;08-06-2010 23:27:47;0:00:00;DEPLANIFIE
