10:30:25 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    66 | ## apr_procattr_create 0
10:30:25 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    69 | ## apr_temp_dir_get 0
10:30:25 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    72 | ## apr_filepath_merge 0
10:30:25 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    75 | ## apr_file_mktemp 0 (C:\DOCUME~1\ABSYSS\LOCALS~1\Temp\tempfileOdtQ0k)
10:30:25 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    78 | ## apr_procattr_child_out_set 0
10:30:25 13-11-2009 | th-07b4 | 01 |                common.c    42 | Using sgbd binaries directory:D:\VTOM5\sgbd\bin.
10:30:26 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    86 | ## apr_proc_create 0 (D:\VTOM5\sgbd\bin/pg_config.exe)
10:30:26 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    89 | ## apr_proc_wait 70005
10:30:26 13-11-2009 | th-07b4 | 03 |                vtsgbd.c    92 | ## apr_file_seek 0
10:30:26 13-11-2009 | th-07b4 | 01 |                vtsgbd.c   107 |  - found 'VERSION = PostgreSQL 8.3.4'
10:30:26 13-11-2009 | th-07b4 | 01 |                vtsgbd.c   111 |  - using postgres
10:30:26 13-11-2009 | th-07b4 | 01 |                vtsgbd.c   450 |  - start sgdb (D:\VTOM5\sgbd\bin/postgres -D "D:\VTOM5\BASES/sgbd" -p 30009)...
10:30:28 13-11-2009 | th-07b4 | 01 |                vtsgbd.c   452 |  - start sgdb return 1.
10:30:28 13-11-2009 | th-07b4 | 01 |                vtsgbd.c   455 |  ! Can't start sgdb.
