LOAD_BENEF;;;;;;
;;;;;;
ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;19/06/2010 05:02;19/06/2010 06:08;01:06:34;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;19/06/2010 06:08;19/06/2010 07:40;01:31:51;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;20/06/2010 03:00;20/06/2010 03:01;00:00:59;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;20/06/2010 03:01;20/06/2010 03:01;00:00:15;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;20/06/2010 03:01;20/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;20/06/2010 03:01;20/06/2010 05:12;02:11:07;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;20/06/2010 05:12;20/06/2010 05:12;00:00:05;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;20/06/2010 05:12;20/06/2010 07:22;02:09:44;EN-ERREUR
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;20/06/2010 07:22;20/06/2010 09:26;02:04:07;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;21/06/2010 03:00;21/06/2010 03:01;00:00:58;TERMINE
AIDA_LOT2/LOAD_BENEF/CREER_SCRIPTS;smapx251;vp_aida;21/06/2010 03:01;21/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_INDEX;smapx251;vp_aida;21/06/2010 03:01;21/06/2010 03:01;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_AJOUT;smapx251;vp_aida;21/06/2010 03:01;21/06/2010 03:42;00:40:43;TERMINE
AIDA_LOT2/LOAD_BENEF/DROP_PK;smapx251;vp_aida;21/06/2010 03:42;21/06/2010 03:42;00:00:10;TERMINE
AIDA_LOT2/LOAD_BENEF/DEMARRE_COMPLET;smapx251;vp_aida;21/06/2010 03:42;21/06/2010 09:45;06:02:46;TERMINE
AIDA_LOT2/LOAD_BENEF/recreer_index;smapx251;vp_aida;21/06/2010 09:45;21/06/2010 11:51;02:06:39;TERMINE
AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;21/06/2010 14:54;21/06/2010 14:54;00:00:30;TERMINE


AIDA_LOT2/LOAD_BENEF/SYNCHRO_PROTOS;smapx251;vp_aida;22/06/2010 03:00;22/06/2010 03:01;00:01:06;TERMINE
