jobset,job,Date job available,Time job available,Date job start,Time job start,Date job end,Time job end,Code job Complete
jfu00Cald,dfs100,16/02/2017,23:47:53,17/02/2017,00:18:21,17/02/2017,00:18:34,00000000
jfu00Cald,dfs100,16/05/2017,23:26:03,16/05/2017,23:44:01,16/05/2017,23:44:06,00000000
jfu00Cald,dfs100,17/03/2017,00:59:05,17/03/2017,01:28:02,17/03/2017,01:28:16,00000000
jfu00Cald,dfs100,17/03/2017,23:46:06,18/03/2017,00:16:34,18/03/2017,00:16:48,00000000
jfu00Cald,dfs100,17/05/2017,23:24:00,17/05/2017,23:40:33,17/05/2017,23:40:43,00000000
jfu00Cald,dfs100,18/01/2017,00:22:40,18/01/2017,00:53:03,18/01/2017,00:53:18,00000000
jfu00Cald,dfs100,18/01/2017,23:46:30,19/01/2017,00:15:45,19/01/2017,00:15:59,00000000
jfu00Cald,dfs100,18/02/2017,04:52:44,18/02/2017,05:25:16,18/02/2017,05:25:29,00000000
jfu00Cald,dfs100,18/05/2017,23:22:26,18/05/2017,23:40:02,18/05/2017,23:40:07,00000000
jfu00Cald,dfs100,19/01/2017,23:44:09,20/01/2017,00:13:33,20/01/2017,00:13:50,00000000
jfu00Cald,dfs100,19/04/2017,00:45:50,19/04/2017,01:04:05,19/04/2017,01:04:15,00000000
jfu00Cald,dfs100,20/01/2017,23:45:20,21/01/2017,00:14:57,21/01/2017,00:15:09,00000000
jfu00Cald,dfs100,20/02/2017,23:54:24,21/02/2017,00:25:16,21/02/2017,00:25:28,00000000
jfu00Cald,dfs100,20/04/2017,01:49:08,20/04/2017,02:06:46,20/04/2017,02:06:55,00000000
jfu00Cald,dfs100,20/04/2017,23:32:39,20/04/2017,23:49:38,20/04/2017,23:49:47,00000000
jfu00Cald,dfs100,21/03/2017,00:02:30,21/03/2017,00:34:15,21/03/2017,00:34:29,00000000
jfu00Cald,dfs100,21/03/2017,23:53:41,22/03/2017,00:21:37,22/03/2017,00:21:48,00000000
jfu00Cald,dfs100,21/04/2017,23:27:16,21/04/2017,23:45:53,21/04/2017,23:46:03,00000000
jfu00Cald,dfs100,22/02/2017,00:07:29,22/02/2017,00:35:05,22/02/2017,00:35:18,00000000
jfu00Cald,dfs100,22/03/2017,23:56:08,23/03/2017,00:24:15,23/03/2017,00:24:26,00000000
jfu00Cald,dfs100,23/01/2017,23:44:25,24/01/2017,00:13:02,24/01/2017,00:13:17,00000000
jfu00Cald,dfs100,23/02/2017,02:42:59,23/02/2017,03:13:47,23/02/2017,03:14:00,00000000
jfu00Cald,dfs100,23/02/2017,23:56:32,24/02/2017,00:24:50,24/02/2017,00:25:05,00000000
jfu00Cald,dfs100,23/03/2017,23:54:08,24/03/2017,00:23:18,24/03/2017,00:23:29,00000000
jfu00Cald,dfs100,24/02/2017,23:54:27,25/02/2017,00:24:49,25/02/2017,00:25:06,00000000
jfu00Cald,dfs100,25/01/2017,00:11:56,25/01/2017,00:41:58,25/01/2017,00:42:11,00000000
jfu00Cald,dfs100,25/01/2017,23:44:23,26/01/2017,00:13:14,26/01/2017,00:13:27,00000000
jfu00Cald,dfs100,25/03/2017,00:02:29,25/03/2017,00:32:28,25/03/2017,00:32:41,00000000
jfu00Cald,dfs100,25/04/2017,02:13:23,25/04/2017,02:31:30,25/04/2017,02:31:40,00000000
jfu00Cald,dfs100,25/04/2017,23:30:39,25/04/2017,23:49:09,25/04/2017,23:49:19,00000000
jfu00Cald,dfs100,27/01/2017,01:33:15,27/01/2017,02:04:19,27/01/2017,02:04:31,00000000
jfu00Cald,dfs100,27/01/2017,23:50:51,28/01/2017,00:19:29,28/01/2017,00:19:43,00000000
jfu00Cald,dfs100,27/03/2017,23:57:35,28/03/2017,00:25:53,28/03/2017,00:26:04,00000000
jfu00Cald,dfs100,27/04/2017,01:24:37,27/04/2017,01:38:10,27/04/2017,01:38:13,00000000
jfu00Cald,dfs100,28/02/2017,00:04:21,28/02/2017,00:32:27,28/02/2017,00:32:44,00000000
jfu00Cald,dfs100,28/04/2017,00:33:58,28/04/2017,00:47:16,28/04/2017,00:47:20,00000000
jfu00Cald,dfs100,29/03/2017,03:20:45,29/03/2017,03:50:21,29/03/2017,03:50:36,00000000
jfu00Cald,dfs100,29/04/2017,01:35:20,29/04/2017,04:21:21,29/04/2017,04:21:23,00000000
jfu00Cald,dfs100,30/01/2017,23:49:11,31/01/2017,00:18:46,31/01/2017,00:18:59,00000000
jfu00Cald,dfs100,30/03/2017,00:07:42,30/03/2017,00:37:20,30/03/2017,00:37:32,00000000
jfu00Cald,dfs100,31/03/2017,01:07:58,31/03/2017,01:40:12,31/03/2017,01:40:26,00000000
jfu01Cald,dfsag0,01/02/2017,03:29:54,01/02/2017,07:14:10,01/02/2017,07:16:46,00000000
jfu01Cald,dfsag0,01/03/2017,03:02:04,01/03/2017,06:14:16,01/03/2017,06:16:30,00000000
jfu01Cald,dfsag0,01/04/2017,02:54:40,01/04/2017,06:26:01,01/04/2017,06:28:22,00000000
jfu01Cald,dfsag0,02/02/2017,00:13:57,02/02/2017,00:57:42,02/02/2017,01:01:11,00000000
jfu01Cald,dfsag0,02/02/2017,23:58:41,03/02/2017,00:27:33,03/02/2017,00:30:46,00000000
jfu01Cald,dfsag0,02/03/2017,00:21:33,02/03/2017,01:04:47,02/03/2017,01:08:31,00000000
jfu01Cald,dfsag0,03/03/2017,00:07:59,03/03/2017,00:37:43,03/03/2017,00:40:52,00000000
jfu01Cald,dfsag0,03/05/2017,00:57:07,03/05/2017,01:16:18,03/05/2017,01:17:59,00000000
jfu01Cald,dfsag0,03/05/2017,23:18:57,03/05/2017,23:33:03,03/05/2017,23:34:35,00000000
jfu01Cald,dfsag0,04/02/2017,00:00:49,04/02/2017,00:31:17,04/02/2017,00:34:44,00000000
jfu01Cald,dfsag0,04/03/2017,00:06:11,04/03/2017,00:35:35,04/03/2017,00:39:06,00000000
jfu01Cald,dfsag0,04/04/2017,00:42:01,04/04/2017,01:29:21,04/04/2017,01:33:17,00000000
jfu01Cald,dfsag0,04/05/2017,23:10:15,04/05/2017,23:25:45,04/05/2017,23:27:20,00000000
jfu01Cald,dfsag0,05/04/2017,00:25:20,05/04/2017,01:00:45,05/04/2017,01:04:48,00000000
jfu01Cald,dfsag0,05/05/2017,23:15:18,05/05/2017,23:29:36,05/05/2017,23:31:08,00000000
jfu01Cald,dfsag0,06/04/2017,01:37:11,06/04/2017,02:14:40,06/04/2017,02:18:19,00000000
jfu01Cald,dfsag0,07/02/2017,00:49:41,07/02/2017,01:07:37,07/02/2017,01:11:08,00000000
