MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_suppflag;imapora2;vp_mof;27/07/2010 20:32;27/07/2010 20:32;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_startint;smapx251;vtom43;27/07/2010 20:32;27/07/2010 20:32;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/purge_arch;imapora2;vp_mof;27/07/2010 20:32;27/07/2010 20:32;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;27/07/2010 20:30;27/07/2010 20:32;00:02:56;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;27/07/2010 20:32;27/07/2010 20:35;00:02:56;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;27/07/2010 20:35;27/07/2010 20:38;00:02:59;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;27/07/2010 20:38;27/07/2010 20:41;00:02:59;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;27/07/2010 20:41;27/07/2010 20:42;00:00:15;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_stopint;smapx251;vtom43;27/07/2010 20:42;27/07/2010 20:43;00:00:37;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;27/07/2010 20:42;27/07/2010 20:43;00:00:52;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;27/07/2010 20:43;27/07/2010 20:43;00:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI/mof_edi_suppflag;imapora2;vp_mof;27/07/2010 20:43;27/07/2010 20:43;00:00:35;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_startint;smapx251;vtom43;27/07/2010 20:43;27/07/2010 20:43;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI/purge_arch;imapora2;vp_mof;27/07/2010 20:43;27/07/2010 20:43;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/MV_FICH_SOURCE;imapora2;vp_mof;27/07/2010 20:00;27/07/2010 20:00;00:00:04;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;27/07/2010 20:00;27/07/2010 20:01;00:00:55;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;27/07/2010 20:01;27/07/2010 20:01;00:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_stop;smapx251;vtom43;27/07/2010 20:01;27/07/2010 20:02;00:00:39;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/suppr_flag;imapora2;vp_mof;27/07/2010 20:02;27/07/2010 20:02;00:00:30;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_start;smapx251;vtom43;27/07/2010 20:02;27/07/2010 20:02;00:00:09;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF_EXP/EXTRACT_EDISNCF;imapora2;vp_mof;27/07/2010 20:02;27/07/2010 20:02;00:00:10;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF_EXP/EXTRACT_EDISNCF;imapora2;vp_mof;27/07/2010 20:02;27/07/2010 20:02;00:00:10;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;27/07/2010 20:30;27/07/2010 20:30;00:00:56;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;27/07/2010 20:31;27/07/2010 20:31;00:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_stopint;smapx251;vtom43;27/07/2010 20:30;27/07/2010 20:32;00:01:46;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_suppflag;imapora2;vp_mof;27/07/2010 20:32;27/07/2010 20:32;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_startint;smapx251;vtom43;27/07/2010 20:32;27/07/2010 20:32;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/purge_arch;imapora2;vp_mof;27/07/2010 20:32;27/07/2010 20:32;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_C16_REMBOURS/RAPPRO_REMBOURS;imapora2;vp_mof;27/07/2010 20:43;27/07/2010 20:47;00:03:54;TERMINE
MIDDLE_OFFICE/MOF_C16_REMBOURS/ANNULE_REMBOURS;imapora2;vp_mof;27/07/2010 20:47;27/07/2010 20:47;00:00:05;TERMINE
MIDDLE_OFFICE/MOF_C16_REMBOURS/purge_trace_remb;imapora2;vp_mof;27/07/2010 20:47;27/07/2010 20:48;00:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/tiers_c16;smapx251;vp_ares;27/07/2010 20:48;27/07/2010 20:52;00:04:37;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/insert_tiers;imapora2;vp_ares;27/07/2010 20:52;27/07/2010 20:53;00:01:00;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/MAJ_FIN;smapx251;vp_ares;27/07/2010 20:53;27/07/2010 20:54;00:00:21;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/envoi_rejets;smapx251;vp_ares;27/07/2010 20:54;27/07/2010 20:54;00:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/PURGE_TIERS_ARC;smapx251;vp_ares;27/07/2010 20:54;27/07/2010 20:54;00:00:05;TERMINE
